name,category,food_code,scientific_name,english_name,info,samples_number,edible_part,portion,image,water,energy_kcal,energy_kj,proteins,lipids,cholesterol,available_carbohydrates,starch,soluble_sugars,alcohol,total_fiber,soluble_fiber,insoluble_fiber,sucrose,glucose,fructose,lactose,galactose,maltose,maltotriosium,raffinose,fluorine,sodium,magnesium,phosphorus,chlorine,potassium,calcium,chromium,manganese,iron,nickel,copper,zinc,selenium,iodine,total_carotenoids,alpha_carotene,beta_carotene,cryptoxanthin,lycopene,lutein,retinol,zeaxanthin,vitamin_a_retinol_equivalent,thiamine,riboflavin,niacin,pantothenic_acid,vitamin_b6,biotin,folate,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,alpha_tocopherol,beta_tocopherol,gamma_tocopherol,delta_tocopherol,vitamin_k,Saturated_fatty_acids,C4:0-C10:0,C4:0_butyric_acid,C6:0_capronic_acid,C7:0_enanthic_acid,C8:0_caprylic_acid,C10:0_caprinic_acid,C12:0_lauric_acid,C13:0_tridecanoic_acid,C14:0_myristic_acid,C15:0_pentadecanoic_acid,C16:0_palmitic_acid,C17:0_heptadecanoic_acid,C18:0_stearic_acid,C20:0_arachidic_acid,C22:0_behenic_acid,C24:0_lignoceric_acid,monounsaturated_fatty_acids,C10:1_caproleic_acid,C12:1_lauroleic_acid,C13:1_tridecenoic_acid,C14:1_myristoleic_acid,C15:1_pentadecenoic_acid,C16:1 palmitoleic_acid,C17:1_heptadecenoic_acid,C18:1_oleic_acid,C20:1_eicosenoic_acid,C22:1_erucic_acid,polyunsaturated_fatty_acids,C18:2_linoleic_acid,C18:3_linolenic_acid,C20:4_arachidonic_acid,C20:5_eicosapentaenoic_acid_EPA,C22:6_docosahexaenoic_acid_DHA,polyunsaturated_saturated,alanine,cystine,aspartic_acid,glutamic_acid,phenylalanine,glycine,histidine,isoleucine,lysine,leucine,methionine,proline,arginine,serine,threonine,valine,tryptophan,tyrosine,chemical_index,limiting_amino_acid,caffeic_acid,citric_acid,phytic_acid,malic_acid,apigenin,antioxidant_activity,campferol,phytosterols,fructo-oligosaccharides,myricetin,polyphenols,quercetin,violaxanthin
"Bovino adulto o vitellone, fesa, crudo",Carni fresche,101160,Bos taurus,"Beef, top side (shank), lean only",Tessuto muscolare privato del grasso visibile,0,1.0,100,https://www.alimentinutrizione.it/images/placeholder.png,75.2,103.0,433.0,21.8,1.8,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,41,18.0,214,0,342,4,0.0,0.0,1.8,0.0,0.05,3.9,3,0,0,0.0,0,0.0,0,0,0,0,tr,0.15,0.26,6.30,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.58,0,20.03,0,14.21,0,0,0,38.11,0,0,0,1.94,0,0,0,29.07,0,2.58,23.26,10.98,1.94,3.23,2.58,1.29,0.6,6.29,1.06,9.91,16.89,4.09,5.34,3.92,4.39,9.17,8.53,2.94,4.31,6.31,4.05,4.18,4.78,1.11,3.45,123,Valina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Bovino adulto o vitellone, filetto, crudo",Carni fresche,101170,Bos taurus,"Beef, tenderloin (fillet), lean only",Tessuto muscolare privato del grasso visibile,0,1.0,100,https://www.alimentinutrizione.it/images/placeholder.png,72.7,127.0,531.0,20.5,5.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,41,20.0,200,0,330,4,0.0,0.0,1.9,0.0,0.08,2.8,17,0,0,0.0,0,0.0,0,0,0,0,tr,0.09,0.19,4.70,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.56,0,20.23,0,13.95,0,0,0,37.91,0,0,0,1.86,0,0,0,29.30,0,2.79,23.02,10.93,2.09,3.26,2.56,1.16,0.6,5.91,1.00,9.32,15.89,3.84,5.02,3.69,4.13,8.62,8.02,2.77,4.05,5.93,3.80,3.93,4.49,1.04,3.24,115,Valina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Bovino adulto o vitellone, girello, crudo",Carni fresche,101180,Bos taurus,"Beef, eye-round, lean only",Tessuto muscolare privato del grasso visibile,0,1.0,100,https://www.alimentinutrizione.it/images/placeholder.png,74.9,110.0,462.0,21.3,2.8,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,42,17.0,175,0,344,4,0.0,0.0,1.4,0.0,0.05,3.1,3,0,0,0.0,0,0.0,0,0,0,0,tr,0.10,0.17,4.30,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.49,0,20.35,0,14.12,0,0,0,37.79,0,0,0,1.66,0,0,0,29.07,0,2.91,23.26,10.80,2.08,3.32,2.49,1.25,0.6,6.14,1.04,9.68,16.51,3.99,5.22,3.83,4.29,8.96,8.33,2.87,4.21,6.16,3.95,4.08,4.67,1.08,3.37,120,Valina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Bovino adulto o vitellone, lombata, crudo",Carni fresche,101190,Bos taurus,"Beef, sirloin-steak, lean only",Tessuto muscolare privato del grasso visibile,0,1.0,100,https://www.alimentinutrizione.it/images/placeholder.png,72.3,134.0,561.0,21.8,5.2,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,44,18.0,178,0,333,4,0.0,0.0,1.4,0.0,0.06,4.0,6,0,0,0.0,0,0.0,0,0,0,0,tr,0.10,0.15,4.70,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.46,0,20.13,0,14.09,0,0,0,37.79,0,0,0,1.79,0,0,0,29.29,0,2.68,23.03,10.96,2.24,3.13,2.68,1.34,0.6,6.29,1.06,9.91,16.89,4.09,5.34,3.92,4.39,9.17,8.53,2.94,4.31,6.31,4.05,4.18,4.78,1.11,3.45,123,Valina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Bovino adulto o vitellone, noce, crudo",Carni fresche,101200,Bos taurus,"Beef, knuckle (thick flank), lean only",Tessutomuscolare privato del grasso visibile,0,1.0,100,https://www.alimentinutrizione.it/images/placeholder.png,75.4,106.0,443.0,21.3,2.3,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,40,18.0,200,0,337,4,0.0,0.0,1.3,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,tr,0.10,0.17,5.00,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.53,0,20.22,0,14.16,0,0,0,37.92,0,0,0,2.02,0,0,0,29.32,0,3.03,23.26,11.12,2.02,3.03,2.53,1.52,0.6,6.14,1.04,9.68,16.51,3.99,5.22,3.83,4.29,8.96,8.33,2.87,4.21,6.16,3.95,4.08,4.67,1.08,3.37,120,Valina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Bovino adulto o vitellone, scamone, crudo",Carni fresche,101210,Bos taurus,"Beef, rump, lean only",Tessuto muscolare privato del grasso visibile,0,1.0,100,https://www.alimentinutrizione.it/images/placeholder.png,73.8,119.0,497.0,21.4,3.7,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,40,16.0,180,0,337,4,0.0,0.0,1.3,0.0,0.05,3.9,3,0,0,0.0,0,0.0,0,0,0,0,tr,0.07,0.20,4.80,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.51,0,20.11,0,14.14,0,0,0,37.71,0,0,0,1.89,0,0,0,29.23,0,2.83,23.26,11.00,2.20,3.14,2.51,1.26,0.6,6.17,1.05,9.72,16.58,4.01,5.25,3.85,4.31,9.00,8.37,2.89,4.23,6.19,3.97,4.1,4.69,1.08,3.38,120,Valina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Bovino adulto o vitellone, sottofesa, crudo",Carni fresche,101220,Bos taurus,"Beef, under top side, lean only",Tessuto muscolare privato del grasso visibile,0,1.0,100,https://www.alimentinutrizione.it/images/placeholder.png,74.6,111.0,466.0,22.0,2.6,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,41,18.0,206,0,342,4,0.0,0.0,1.8,0.0,0.05,4.0,3,0,0,0.0,0,0.0,0,0,0,0,tr,0.10,0.17,5.00,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.68,0,20.13,0,13.86,0,0,0,38.01,0,0,0,1.79,0,0,0,29.07,0,2.68,23.26,10.73,2.24,3.13,2.68,1.34,0.6,6.34,1.07,10.00,17.05,4.12,5.39,3.96,4.43,9.25,8.61,2.97,4.35,6.36,4.08,4.22,4.82,1.12,3.48,124,Valina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Bovino adulto o vitellone, copertina di sotto, copertina di spalla, sottospalla e collo, crudo",Carni fresche,101230,Bos taurus,"Beef, shoulder clod, middle rib and chuck, lean only","Tessuto muscolare privato del grasso visibile, adatto per bolliti, spezzatini, brasati, stracotti",0,1.0,100,https://www.alimentinutrizione.it/images/placeholder.png,72.9,132.0,554.0,20.3,5.7,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,53,18.0,178,0,287,15,0.0,0.0,1.5,0.0,0.06,5.0,0,0,0,0.0,0,0.0,0,0,0,0,tr,0.10,0.15,4.70,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.65,0,18.97,0,13.26,0,0,0,37.74,0,0,0,3.67,0,0,0,25.70,0,2.86,25.91,12.85,2.24,3.88,1.43,1.43,0.7,6.21,1.12,9.49,16.47,3.89,6.01,3.47,4.26,8.77,8.14,2.72,4.62,6.32,3.90,4.07,4.66,0.90,3.24,119,Valina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Bovino adulto o vitellone, geretto anteriore e posteriore, crudo",Carni fresche,101240,Bos taurus,"Beef, fore shank and hind shank, lean only","Tessuto muscolare privato del grasso visibile, adatto per ossobuco, bolliti, umidi",0,1.0,100,https://www.alimentinutrizione.it/images/placeholder.png,75.0,112.0,470.0,20.9,3.2,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,56,17.0,175,0,287,5,0.0,0.0,1.4,0.0,0.06,4.6,0,0,0,0.0,0,0.0,0,0,0,0,tr,0.10,0.17,4.30,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.54,0,20.35,0,14.17,0,0,0,37.79,0,0,0,1.82,0,0,0,29.07,0,2.91,23.26,10.90,2.18,3.27,2.54,1.09,0.6,6.39,1.15,9.77,16.95,4.01,6.19,3.57,4.38,9.03,8.38,2.80,4.76,6.50,4.02,4.19,4.8,0.93,3.33,123,Valina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Bovino adulto o vitellone, pancia, biancostato e punta di petto, crudo",Carni fresche,101250,Bos taurus,"Beef, flank steak and brisket, lean only",,0,1.0,100,https://www.alimentinutrizione.it/images/placeholder.png,69.0,171.0,714.0,19.7,10.2,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,57,14.0,168,0,287,6,0.0,0.0,1.1,0.0,0.06,3.8,0,0,0,0.0,0,0.0,0,0,0,0,tr,0.07,0.11,4.70,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.51,0,18.92,0,13.22,0,0,0,37.73,0,0,0,3.65,0,0,0,25.65,0,2.74,25.88,12.88,2.28,3.88,1.48,1.48,0.7,6.03,1.09,9.21,15.98,3.78,5.83,3.36,4.13,8.51,7.90,2.64,4.49,6.13,3.79,3.95,4.53,0.87,3.14,116,Valina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
