name,category,food_code,scientific_name,english_name,info,samples_number,edible_part,portion,image,water,energy_kcal,energy_kj,proteins,lipids,cholesterol,available_carbohydrates,starch,soluble_sugars,alcohol,total_fiber,soluble_fiber,insoluble_fiber,sucrose,glucose,fructose,lactose,galactose,maltose,maltotriosium,raffinose,fluorine,sodium,magnesium,phosphorus,chlorine,potassium,calcium,chromium,manganese,iron,nickel,copper,zinc,selenium,iodine,total_carotenoids,alpha_carotene,beta_carotene,cryptoxanthin,lycopene,lutein,retinol,zeaxanthin,vitamin_a_retinol_equivalent,thiamine,riboflavin,niacin,pantothenic_acid,vitamin_b6,biotin,folate,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,alpha_tocopherol,beta_tocopherol,gamma_tocopherol,delta_tocopherol,vitamin_k,Saturated_fatty_acids,C4:0-C10:0,C4:0_butyric_acid,C6:0_capronic_acid,C7:0_enanthic_acid,C8:0_caprylic_acid,C10:0_caprinic_acid,C12:0_lauric_acid,C13:0_tridecanoic_acid,C14:0_myristic_acid,C15:0_pentadecanoic_acid,C16:0_palmitic_acid,C17:0_heptadecanoic_acid,C18:0_stearic_acid,C20:0_arachidic_acid,C22:0_behenic_acid,C24:0_lignoceric_acid,monounsaturated_fatty_acids,C10:1_caproleic_acid,C12:1_lauroleic_acid,C13:1_tridecenoic_acid,C14:1_myristoleic_acid,C15:1_pentadecenoic_acid,C16:1 palmitoleic_acid,C17:1_heptadecenoic_acid,C18:1_oleic_acid,C20:1_eicosenoic_acid,C22:1_erucic_acid,polyunsaturated_fatty_acids,C18:2_linoleic_acid,C18:3_linolenic_acid,C20:4_arachidonic_acid,C20:5_eicosapentaenoic_acid_EPA,C22:6_docosahexaenoic_acid_DHA,polyunsaturated_saturated,alanine,cystine,aspartic_acid,glutamic_acid,phenylalanine,glycine,histidine,isoleucine,lysine,leucine,methionine,proline,arginine,serine,threonine,valine,tryptophan,tyrosine,chemical_index,limiting_amino_acid,caffeic_acid,citric_acid,phytic_acid,malic_acid,apigenin,antioxidant_activity,campferol,phytosterols,fructo-oligosaccharides,myricetin,polyphenols,quercetin,violaxanthin
"Farro perlato, crudo",Cereali e derivati,000020,Triticum dicoccon,"Spelt, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/tabelle/000020.jpg,11.3,353.0,1476.0,14.6,2.4,0,69.3,60.9,2.4,0.0,6.5,0.96,5.5,0,0.0,0,0.0,0,0,0,0.0,0,10,112.0,387,0,407,35,0.0,2.0,1.9,0.0,0.39,2.6,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,31,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.96,2.72,5.94,28.69,5.00,4.19,2.46,4.02,3.04,7.36,2.01,9.47,4.87,4.48,2.99,5.28,1.31,2.80,68,Lisina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Farro perlato, cotto, bollito",Cereali e derivati,000025,Triticum dicoccon,"Spelt, grain, boiled in water, no salt, drained","Cottura in acqua senza aggiunta di sale, scolato",3,1.0,185,https://www.alimentinutrizione.it/images/placeholder.png,57.6,178.0,744.0,6.2,1,0,37.3,33.1,0.9,0.0,2.1,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1,23.0,71,0,50,15,0.0,0.3,0.6,0.0,0.15,0.61,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Frumento duro,Cereali e derivati,000030,Triticum durum,"Durum wheat, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,11.5,332.0,1389.0,13.0,2.9,0,62.5,53.9,3.2,0.0,9.8,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,160.0,330,0,494,30,0.0,0.0,3.6,0.0,0.40,2.9,3.8,0,0,0.0,0,0.0,0,0,0,0,2,0.43,0.15,5.70,0.0,0.0,0,40,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21.26,0,1.42,0,0,0,17.01,0,0,0,0,0,0,0,16.53,0,0,61.41,56.68,4.72,0,0.0,0.0,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Frumento tenero,Cereali e derivati,000040,Triticum aestivum,"Soft wheat, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,12.0,336.0,1408.0,12.3,2.6,0,65.2,56.3,3.3,0.0,9.7,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,304,0,0,35,0.0,0.0,3.3,0.0,0.31,3.1,0,0,0,0.0,0,0.0,0,0,0,0,0,0.42,0.14,5.40,0.0,0.0,0,39,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.32,0,1.23,0,0,0,11.87,0,0,0,0,0,0,0,11.87,0,0,65.06,61.78,3.27,0,0.0,0.0,2.65,3.76,2.82,5.15,31.44,4.66,4.01,2.29,3.65,2.93,6.93,1.60,10.29,4.76,4.84,3.10,4.68,1.09,3.37,65,Lisina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Couscous, crudo",Cereali e derivati,000045,,"Couscous, raw","Prodotto tradizionale del Nordafrica, precotto",4,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,9.1,361.0,1509.0,13.7,1.1,0,76.5,67.1,2.7,0.0,4.5,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,10,52.0,195,0,247,24,0.0,0.9,1.9,0.0,0.31,1.4,0,0,0,0.0,0,0.0,0,0,0,0,0,0.16,0.08,3.42,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Couscous, cotto",Cereali e derivati,000046,,"Couscous, cooked","Prodotto tradizionale del Nordafrica. Cottura in acqua, olio e sale",4,1.0,185,https://www.alimentinutrizione.it/images/placeholder.png,55.1,179.0,747.0,3.6,1.1,0,39.7,34.9,1.3,0.0,2.7,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,96,15.0,58,0,84,10,0.0,0.3,0.5,0.0,0.08,0.39,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09,0.06,1.26,0.0,0.0,0,0,0.0,0,0.0,0.13,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Grano saraceno,Cereali e derivati,000050,Fagopyrum esculentum,"Buckwheat, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/tabelle/000050.jpg,13.1,329.0,1376.0,12.4,3.3,0,61.2,0,0,0.0,10,1.72,8.35,0,0.0,0,0.0,0,0,0,0.0,0,1,0.0,330,0,450,110,0.0,0.0,4,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.60,0,4.40,0.0,0.0,0,24,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.34,0,16.84,0,2.36,2.02,0,0,37.04,0,0,0,0,0,0,0,37.04,0,0,40.07,34.34,5.72,0,0.0,0.0,1.86,4.49,2.63,9.90,18.54,4.68,6.01,2.46,3.85,5.87,6.75,2.43,3.01,9.67,4.78,3.70,5.36,0,2.86,114,Leucina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Mais,Cereali e derivati,000060,Zea mays,"Sweet corn, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,12.5,357.0,1492.0,9.2,3.8,0,75.1,66,2.5,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,35,120.0,256,0,287,15,0.0,0.0,2.4,0.0,0.31,2.21,15.5,0,0,0.0,0,0.0,0,0,0,0,62,0.36,0.20,1.50,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8.99,0,3.21,0,3.21,3.21,0,0,27.92,0,0,0,0,0,0,0,27.92,0,0,53.59,45.57,8.02,0,0.0,0.0,2.88,7.83,2.22,6.51,19.78,5.23,3.77,2.91,3.88,2.84,12.70,2.11,9.57,4.67,5.16,3.72,5.24,0.68,3.82,63,Lisina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Mais, dolce, in scatola, sgocciolato",Cereali e derivati,000070,Zea mays,"Sweet corn, grain, canned",,0,1.0,30,https://www.alimentinutrizione.it/images/tabelle/000070.jpg,70.3,105.0,439.0,3.4,1.3,0,20.5,13.8,5.3,0.0,1.4,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,270,0.0,79,0,220,4,0.0,0.0,0.5,0.0,0.05,0.45,0.7,0,0,0.0,0,0.0,0,0,0,0,24,0.25,0.18,0.86,0.0,0.0,0,0,0.0,7,0.0,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Polenta, cruda",Cereali e derivati,000075,,"Polenta, raw",Prodotto precotto,4,1.0,70,https://www.alimentinutrizione.it/images/placeholder.png,10.4,323.0,1353.0,8.0,0.7,0,72.7,62.5,0.6,0.0,6.2,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,5,15.0,74,0,34,7,0.0,0.0,0.4,0.0,0.06,0.18,0,0,0,0.0,0,0.0,0,0,0,0,11,0.24,0.07,1.85,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Polenta, cotta",Cereali e derivati,000076,,"Polenta, cooked",,4,1.0,340,https://www.alimentinutrizione.it/images/placeholder.png,80.4,73.0,303.0,0.9,0.04,0,17.8,16,0.2,0.0,0.9,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,91,2.0,8,0,16,3,0.0,0.0,0.1,0.0,0.01,0.03,0,0,0,0.0,0,0.0,0,0,0,0,4,0.05,0.01,0.39,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Miglio,Cereali e derivati,000080,Panicum miliaceum,"Millet, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/tabelle/000080.jpg,10.8,343.0,1434.0,11.8,3.9,0,64.9,0,0,0.0,8.5,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,5,0.0,285,0,195,8,0.0,0.0,3,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.42,0.29,4.72,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10.21,1.65,6.01,21.64,5.03,2.32,1.89,3.88,1.65,11.77,2.54,6.88,3.20,6.24,3.01,4.98,1.23,3.29,37,Lisina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Miglio, decorticato",Cereali e derivati,000081,Panicum miliaceum,"Millet, decorticated, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/tabelle/000081.jpg,12.6,342.0,1432.0,11.0,4.2,0,67.8,57.2,4.9,0.0,3.1,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1,160.0,300,0,174,17,0.0,0.0,3.5,0.0,0.55,2.3,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Orzo perlato,Cereali e derivati,000090,Hordeum vulgare,"Pearled barley, grain",,0,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,12.0,346.0,1447.0,9.4,1.5,0,73.7,65.6,1.5,0.0,9.2,4.41,4.83,0.60,0.1,0.10,0.0,0,0.60,0,0.2,0,3,46.0,178,0,179,21,0.0,0.8,1.1,0.0,0.29,1.15,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09,0.08,3.10,0.0,0.0,0,20,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,24.37,0,0,0,0,0,11.76,0,0,0,0,0,0,0,11.76,0,0,64.71,58.82,5.88,0,0.0,0.0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.48,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Orzo perlato, cotto, bollito",Cereali e derivati,000095,Hordeum vulgare,"Pearled barley, grain, boiled in water, no salt, drained","Cottura in acqua senza aggiunta di sale, scolato",3,1.0,215,https://www.alimentinutrizione.it/images/placeholder.png,72.7,118.0,495.0,2.6,0.6,0,26.4,22.9,1.2,0.0,1.8,0.0,0.0,0.61,0.06,0.06,0.0,0,0.38,0,0.13,0,2,34.0,93,0,67,16,0.0,0.6,0.9,0.0,0.16,0.82,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,10,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Quinoa, cruda",Cereali e derivati,000096,,"Quinoa, raw",,3,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,10.8,376.0,1572.0,15.4,8.1,0,57.8,47.7,5.3,0.0,12.2,0.0,0.0,2.75,1.76,0.25,0.0,0,0.25,0,0.28,0,tr,189.0,438,0,655,46,0.0,3.9,3.6,0.0,0.51,2.74,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,20,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.18,0.11,0,1.33,0,20.98,0.17,10.77,0,0,0,49.28,0,0,0,0,0,0,0.22,44.45,0.64,0,16.73,13.03,0.35,3.35,0.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Quinoa, cotta, bollita",Cereali e derivati,000097,,"Quinoa, boiled in water, no salt, drained","Cottura in acqua senza aggiunta di sale, scolata",3,1.0,250,https://www.alimentinutrizione.it/images/placeholder.png,71.2,140.0,586.0,4.8,2.5,0,24.3,19.3,3.1,0.0,3.6,0.0,0.0,2.31,0.41,0.07,0.0,0,0.06,0,0.22,0,4,61.0,139,0,175,21,0.0,1.1,1.1,0.0,0.16,1.18,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.19,0.11,0,1.36,0,20.88,0.16,10.77,0,0,0,49.27,0,0,0,0,0,0,0.19,44.9,0.65,0,16.88,13.16,0.37,3.35,0.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Riso, brillato",Cereali e derivati,000100,Oryza sativa,"Rice polished, raw",,0,1.0,80,https://www.alimentinutrizione.it/images/tabelle/000100.jpg,12.0,334.0,1397.0,6.7,0.4,0,80.4,72.9,0.2,0.0,1,0.08,0.89,0,0.0,0,0.0,0,0,0,0.0,0,5,20.0,94,0,92,24,0.0,0.0,0.8,0.0,0.18,1.3,10,0,0,0.0,0,0.0,0,0,0,0,0,0.11,0.03,1.30,0.0,0.0,0,0,0.0,0,0.0,tr,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,2.5,0,0,0,32.5,0,0,0,0,0,0,0,32.5,0,0,45,42.5,2.5,0,0.0,0.0,1.80,5.99,1.61,9.80,20.21,5.37,4.63,2.47,4.57,3.84,8.81,2.23,4.97,8.10,5.19,3.67,6.53,1.30,3.40,85,Lisina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Riso, brillato, cotto, bollito",Cereali e derivati,000105,Oryza sativa,"Rice polished, boiled in distilled water, no salt, drained","Cottura in acqua distillata senza aggiunta di sale, scolato",0,1.0,260,https://www.alimentinutrizione.it/images/tabelle/000105.jpg,72.6,100.0,419.0,2.0,0.1,0,24.2,21.9,0.1,0.0,0.2,0.09,0.11,0,0.0,0,0.0,0,0,0,0.0,0,1,9.0,28,0,28,10,0.0,0.0,0.2,0.0,0.06,0.5,4,0,0,0.0,0,0.0,0,0,0,0,0,0.03,0.01,0.40,0.0,0.0,0,0,0.0,0,0.0,tr,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Riso, integrale",Cereali e derivati,000110,Oryza sativa,"Rice, whole, raw",,0,1.0,80,https://www.alimentinutrizione.it/images/tabelle/000110.jpg,12.0,341.0,1427.0,7.5,1.9,0,77.4,69.2,1.2,0.0,1.9,0.12,1.8,0,0.0,0,0.0,0,0,0,0.0,0,9,0.0,221,0,214,32,0.0,0.0,1.6,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.48,0.05,4.70,0.0,0.0,0,0,0.0,0,0.0,0.7,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.52,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Riso, integrale, cotto, bollito",Cereali e derivati,000115,Oryza sativa,"Rice, whole, boiled in distilled water, no salt, drained","Cottura in acqua distillata senza aggiunta di sale, scolato",0,1.0,250,https://www.alimentinutrizione.it/images/tabelle/000115.jpg,70.3,113.0,471.0,2.5,0.6,0,25.5,22.8,0.4,0.0,0.8,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,3,0.0,73,0,70,12,0.0,0.0,0.5,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.10,0.02,1.40,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Riso, parboiled",Cereali e derivati,000120,Oryza sativa,"Parboiled rice, raw",,0,1.0,80,https://www.alimentinutrizione.it/images/tabelle/000120.jpg,10.3,338.0,1415.0,7.4,0.3,0,81.3,73.6,0.3,0.0,0.5,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,9,0.0,200,0,150,60,0.0,0.0,2.9,0.0,0.34,2,14,0,0,0.0,0,0.0,0,0,0,0,0,0.34,0,0,0.0,0.0,0,0,0.0,0,0.0,tr,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Riso, parboiled, cotto, bollito",Cereali e derivati,000125,Oryza sativa,"Parboiled rice, boiled in distilled water, no salt, drained","Cottura in acqua distillata senza aggiunta di sale, scolato",0,1.0,236,https://www.alimentinutrizione.it/images/placeholder.png,73.4,97.0,407.0,2.1,0.1,0,23.3,21,0.2,0.0,0.3,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,4,0.0,57,0,43,19,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.07,0,0,0.0,0.0,0,0,0.0,0,0.0,tr,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Riso Basmati, crudo",Cereali e derivati,000130,,"Basmati rice, raw",,3,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,12.2,367.0,1534.0,9.0,1.9,0,82.9,74.4,1.1,0.0,1.3,0.0,0.0,0.64,0.28,0.03,0.0,0,0.14,0,0.0,0,tr,32.0,131,0,114,5,0.0,0.8,0.8,0.0,0.35,1.48,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Riso Basmati, cotto, bollito",Cereali e derivati,000135,,"Basmati rice, boiled in water, no salt, drained","Cottura in acqua senza aggiunta di sale, scolato",3,1.0,240,https://www.alimentinutrizione.it/images/placeholder.png,70.6,113.0,474.0,3.0,0.6,0,25.2,22.3,0.7,0.0,0.7,0.0,0.0,0.55,0.02,0.01,0.0,0,0.08,0,0.0,0,2,11.0,42,0,37,9,0.0,0.3,0.2,0.0,0.08,0.53,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Riso Venere, crudo",Cereali e derivati,000140,,"Venere rice, raw",,3,1.0,80,https://www.alimentinutrizione.it/images/placeholder.png,12.5,355.0,1484.0,7.8,1.3,0,80.4,71.1,2.2,0.0,5.1,0.0,0.0,1.29,0.58,0.14,0.0,0,0.21,0,0.0,0,tr,101.0,336,0,280,13,0.0,3.1,1.1,0.0,0.22,1.50,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
"Riso Venere, cotto, bollito",Cereali e derivati,000145,,"Venere rice, boiled in water, no salt, drained","Cottura in acqua senza aggiunta di sale, scolato",3,1.0,170,https://www.alimentinutrizione.it/images/placeholder.png,59.3,160.0,669.0,3.5,0.3,0,36.9,32.1,1.6,0.0,2.4,0.0,0.0,1.33,0.15,0.04,0.0,0,0.10,0,0.0,0,2,50.0,153,0,120,13,0.0,1.3,0.4,0.0,0.10,0.79,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Crusca di frumento,Cereali e derivati,000150,Triticum aestivum,Wheat bran,,0,1.0,30,https://www.alimentinutrizione.it/images/tabelle/000150.jpg,8.2,290.0,1215.0,14.1,5.5,0,26.6,20.7,3.8,0.0,42.4,1.31,41.13,0,0.0,0,0.0,0,0,0,0.0,0,28,550.0,1200,0,1160,110,0.0,0.0,12.9,0.0,1.23,0.99,4.3,0,0,0.0,0,0.0,0,0,0,0,1,0.89,0.36,29.6,0.0,0.0,0,0,0.0,0,0.0,1.6,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.22,0,18.4,0,1.11,0,0,0,19.29,0,0,0,0,0,0,0,18.85,0,0,62.53,58.31,4.21,0,0.0,0.0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.14,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Farina d'avena,Cereali e derivati,000200,Avena sativa,"Flour, oat",,0,1.0,100,https://www.alimentinutrizione.it/images/placeholder.png,9.0,378.0,1582.0,12.6,7.1,0,66.3,59.2,1.2,0.0,7.6,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,33,0.0,342,0,370,80,0.0,0.0,4.2,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.52,0.17,2.40,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.39,0,15.63,0,1.13,1.41,0,0,35.63,0,0,0,0,0,0,0,34.37,0,0,43.52,37.46,6.06,0,0.0,0.0,2.12,4.50,2.70,7.70,20.90,5.00,4.70,2.10,3.80,3.70,7.30,1.70,5.20,6.30,4.70,3.30,5.10,1.47,3.30,82,Lisina,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
